ファイル名,ラベル名,ファイルのディレクトリパス,タイトル,資料のURL,当該画像のフルサイズのURL(IIIF Image API)
1115508_19_0.jpg,graphic_graph,graphic_graph\1115508_19_0.jpg,度量衡統計要覧,https://dl.ndl.go.jp/info:ndljp/pid/1115508,"https://www.dl.ndl.go.jp/api/iiif/1115508/R0000019/pct:21.0,37.9,30.5,45.8/full/0/default.jpg"
1116577_366_0.jpg,graphic_graph,graphic_graph\1116577_366_0.jpg,標準ラヂオ大辞典,https://dl.ndl.go.jp/info:ndljp/pid/1116577,"https://www.dl.ndl.go.jp/api/iiif/1116577/R0000366/pct:76.7,14.7,8.8,16.0/full/0/default.jpg"
1117921_10_1.jpg,graphic_graph,graphic_graph\1117921_10_1.jpg,国際労働局局長年報,https://dl.ndl.go.jp/info:ndljp/pid/1117921,"https://www.dl.ndl.go.jp/api/iiif/1117921/R0000010/pct:20.6,20.5,25.3,22.4/full/0/default.jpg"
1118917_10_1.jpg,graphic_graph,graphic_graph\1118917_10_1.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000010/pct:79.5,37.8,9.5,31.8/full/0/default.jpg"
1118917_8_1.jpg,graphic_graph,graphic_graph\1118917_8_1.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:50.0,68.9,11.9,17.5/full/0/default.jpg"
1118917_8_2.jpg,graphic_graph,graphic_graph\1118917_8_2.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:62.3,49.3,11.4,17.0/full/0/default.jpg"
1118917_8_3.jpg,graphic_graph,graphic_graph\1118917_8_3.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:62.3,49.3,11.4,17.0/full/0/default.jpg"
1118917_8_4.jpg,graphic_graph,graphic_graph\1118917_8_4.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:62.3,49.3,11.4,17.0/full/0/default.jpg"
1118917_8_5.jpg,graphic_graph,graphic_graph\1118917_8_5.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:62.6,70.0,11.6,16.8/full/0/default.jpg"
1118917_8_6.jpg,graphic_graph,graphic_graph\1118917_8_6.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000008/pct:50.2,29.2,11.2,16.7/full/0/default.jpg"
1118917_9_1.jpg,graphic_graph,graphic_graph\1118917_9_1.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000009/pct:63.2,47.0,11.9,18.7/full/0/default.jpg"
1118917_9_3.jpg,graphic_graph,graphic_graph\1118917_9_3.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000009/pct:48.8,27.7,12.8,16.5/full/0/default.jpg"
1118917_9_4.jpg,graphic_graph,graphic_graph\1118917_9_4.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000009/pct:63.1,27.3,11.6,17.5/full/0/default.jpg"
1118917_9_5.jpg,graphic_graph,graphic_graph\1118917_9_5.jpg,[大阪市]社会部報告,https://dl.ndl.go.jp/info:ndljp/pid/1118917,"https://www.dl.ndl.go.jp/api/iiif/1118917/R0000009/pct:64.0,68.0,10.8,17.5/full/0/default.jpg"
1119552_15_0.jpg,graphic_graph,graphic_graph\1119552_15_0.jpg,警察共済組合事業成績,https://dl.ndl.go.jp/info:ndljp/pid/1119552,"https://www.dl.ndl.go.jp/api/iiif/1119552/R0000015/pct:59.8,43.1,24.3,45.9/full/0/default.jpg"
1119552_15_1.jpg,graphic_graph,graphic_graph\1119552_15_1.jpg,警察共済組合事業成績,https://dl.ndl.go.jp/info:ndljp/pid/1119552,"https://www.dl.ndl.go.jp/api/iiif/1119552/R0000015/pct:67.4,14.0,16.6,27.0/full/0/default.jpg"
1119552_17_1.jpg,graphic_graph,graphic_graph\1119552_17_1.jpg,警察共済組合事業成績,https://dl.ndl.go.jp/info:ndljp/pid/1119552,"https://www.dl.ndl.go.jp/api/iiif/1119552/R0000017/pct:55.5,12.9,14.6,32.5/full/0/default.jpg"
1119980_141_3.jpg,graphic_graph,graphic_graph\1119980_141_3.jpg,工場監督年報 : 附・労働者募集年報,https://dl.ndl.go.jp/info:ndljp/pid/1119980,"https://www.dl.ndl.go.jp/api/iiif/1119980/R0000141/pct:19.0,20.6,26.3,28.8/full/0/default.jpg"
1121166_99_0.jpg,graphic_graph,graphic_graph\1121166_99_0.jpg,三陸沖強震及津浪報告,https://dl.ndl.go.jp/info:ndljp/pid/1121166,"https://www.dl.ndl.go.jp/api/iiif/1121166/R0000099/pct:17.0,16.6,17.8,34.5/full/0/default.jpg"
1124679_29_0.jpg,graphic_graph,graphic_graph\1124679_29_0.jpg,朝鮮農業統計図表,https://dl.ndl.go.jp/info:ndljp/pid/1124679,"https://www.dl.ndl.go.jp/api/iiif/1124679/R0000029/pct:51.0,18.5,31.3,47.5/full/0/default.jpg"
1125810_42_0.jpg,graphic_graph,graphic_graph\1125810_42_0.jpg,産業体育指導者必携,https://dl.ndl.go.jp/info:ndljp/pid/1125810,"https://www.dl.ndl.go.jp/api/iiif/1125810/R0000042/pct:19.9,14.8,27.3,68.2/full/0/default.jpg"
1132272_296_0.jpg,graphic_graph,graphic_graph\1132272_296_0.jpg,全国都市問題会議総会,https://dl.ndl.go.jp/info:ndljp/pid/1132272,"https://www.dl.ndl.go.jp/api/iiif/1132272/R0000296/pct:24.4,23.0,17.8,23.5/full/0/default.jpg"
1138948_13_0.jpg,graphic_graph,graphic_graph\1138948_13_0.jpg,大阪工業試験所報告,https://dl.ndl.go.jp/info:ndljp/pid/1138948,"https://www.dl.ndl.go.jp/api/iiif/1138948/R0000013/pct:12.6,23.5,29.5,40.5/full/0/default.jpg"
1139457_50_1.jpg,graphic_graph,graphic_graph\1139457_50_1.jpg,倉敷中央病院年報,https://dl.ndl.go.jp/info:ndljp/pid/1139457,"https://www.dl.ndl.go.jp/api/iiif/1139457/R0000050/pct:18.1,68.7,13.8,16.1/full/0/default.jpg"
1141057_13_0.jpg,graphic_graph,graphic_graph\1141057_13_0.jpg,台南州統計書,https://dl.ndl.go.jp/info:ndljp/pid/1141057,"https://www.dl.ndl.go.jp/api/iiif/1141057/R0000013/pct:54.5,15.0,34.7,39.5/full/0/default.jpg"
1142066_6_0.jpg,graphic_graph,graphic_graph\1142066_6_0.jpg,名古屋高等工業学校学術報告,https://dl.ndl.go.jp/info:ndljp/pid/1142066,"https://www.dl.ndl.go.jp/api/iiif/1142066/R0000006/pct:19.3,48.8,28.7,27.5/full/0/default.jpg"
1146059_30_2.jpg,graphic_graph,graphic_graph\1146059_30_2.jpg,復興局技術試験所報告,https://dl.ndl.go.jp/info:ndljp/pid/1146059,"https://www.dl.ndl.go.jp/api/iiif/1146059/R0000030/pct:15.9,62.9,30.1,25.6/full/0/default.jpg"
1148853_15_0.jpg,graphic_graph,graphic_graph\1148853_15_0.jpg,警視庁防疫年鑑,https://dl.ndl.go.jp/info:ndljp/pid/1148853,"https://www.dl.ndl.go.jp/api/iiif/1148853/R0000015/pct:15.6,20.5,31.5,61.5/full/0/default.jpg"
1149777_3_1.jpg,graphic_graph,graphic_graph\1149777_3_1.jpg,家,https://dl.ndl.go.jp/info:ndljp/pid/1149777,"https://www.dl.ndl.go.jp/api/iiif/1149777/R0000003/pct:21.3,59.3,21.1,9.2/full/0/default.jpg"
1171329_31_1.jpg,graphic_graph,graphic_graph\1171329_31_1.jpg,空気の衛生展覧会抄録,https://dl.ndl.go.jp/info:ndljp/pid/1171329,"https://www.dl.ndl.go.jp/api/iiif/1171329/R0000031/pct:19.9,45.8,19.4,39.0/full/0/default.jpg"
1178936_67_0.jpg,graphic_graph,graphic_graph\1178936_67_0.jpg,世界恐慌-数字に現れた,https://dl.ndl.go.jp/info:ndljp/pid/1178936,"https://www.dl.ndl.go.jp/api/iiif/1178936/R0000067/pct:55.8,24.0,14.5,26.7/full/0/default.jpg"
1210866_282_1.jpg,graphic_graph,graphic_graph\1210866_282_1.jpg,大東京概観 : 市域拡張記念,https://dl.ndl.go.jp/info:ndljp/pid/1210866,"https://www.dl.ndl.go.jp/api/iiif/1210866/R0000282/pct:30.4,26.7,15.3,22.9/full/0/default.jpg"
1223805_138_0.jpg,graphic_graph,graphic_graph\1223805_138_0.jpg,気象学,https://dl.ndl.go.jp/info:ndljp/pid/1223805,"https://www.dl.ndl.go.jp/api/iiif/1223805/R0000138/pct:52.9,47.6,16.1,14.9/full/0/default.jpg"
1223805_204_0.jpg,graphic_graph,graphic_graph\1223805_204_0.jpg,気象学,https://dl.ndl.go.jp/info:ndljp/pid/1223805,"https://www.dl.ndl.go.jp/api/iiif/1223805/R0000204/pct:54.1,16.5,30.5,31.0/full/0/default.jpg"
1223805_206_0.jpg,graphic_graph,graphic_graph\1223805_206_0.jpg,気象学,https://dl.ndl.go.jp/info:ndljp/pid/1223805,"https://www.dl.ndl.go.jp/api/iiif/1223805/R0000206/pct:17.9,28.0,17.3,19.2/full/0/default.jpg"
1223805_46_0.jpg,graphic_graph,graphic_graph\1223805_46_0.jpg,気象学,https://dl.ndl.go.jp/info:ndljp/pid/1223805,"https://www.dl.ndl.go.jp/api/iiif/1223805/R0000046/pct:66.4,33.9,16.6,15.8/full/0/default.jpg"
1236387_49_0.jpg,graphic_graph,graphic_graph\1236387_49_0.jpg,無線工学,https://dl.ndl.go.jp/info:ndljp/pid/1236387,"https://www.dl.ndl.go.jp/api/iiif/1236387/R0000049/pct:18.6,35.0,16.8,25.2/full/0/default.jpg"
1255439_214_1.jpg,graphic_graph,graphic_graph\1255439_214_1.jpg,実用放送工学,https://dl.ndl.go.jp/info:ndljp/pid/1255439,"https://www.dl.ndl.go.jp/api/iiif/1255439/R0000214/pct:31.2,46.5,15.8,21.1/full/0/default.jpg"
1266837_58_0.jpg,graphic_graph,graphic_graph\1266837_58_0.jpg,警察通信史料,https://dl.ndl.go.jp/info:ndljp/pid/1266837,"https://www.dl.ndl.go.jp/api/iiif/1266837/R0000058/pct:59.7,30.8,29.0,47.0/full/0/default.jpg"
1268187_22_4.jpg,graphic_graph,graphic_graph\1268187_22_4.jpg,世界は何処へ,https://dl.ndl.go.jp/info:ndljp/pid/1268187,"https://www.dl.ndl.go.jp/api/iiif/1268187/R0000022/pct:34.3,29.9,12.1,14.3/full/0/default.jpg"
1269100_23_0.jpg,graphic_graph,graphic_graph\1269100_23_0.jpg,世界は何処へ,https://dl.ndl.go.jp/info:ndljp/pid/1269100,"https://www.dl.ndl.go.jp/api/iiif/1269100/R0000023/pct:16.4,21.5,31.0,62.1/full/0/default.jpg"
1269599_233_0.jpg,graphic_graph,graphic_graph\1269599_233_0.jpg,野村財界研究叢書,https://dl.ndl.go.jp/info:ndljp/pid/1269599,"https://www.dl.ndl.go.jp/api/iiif/1269599/R0000233/pct:64.6,54.6,16.3,25.8/full/0/default.jpg"
1271426_34_1.jpg,graphic_graph,graphic_graph\1271426_34_1.jpg,昭和十三年九月氷見町大火災害誌,https://dl.ndl.go.jp/info:ndljp/pid/1271426,"https://www.dl.ndl.go.jp/api/iiif/1271426/R0000034/pct:49.4,56.5,30.5,14.5/full/0/default.jpg"
1276946_7_0.jpg,graphic_graph,graphic_graph\1276946_7_0.jpg,関東州国勢調査世帯及人口,https://dl.ndl.go.jp/info:ndljp/pid/1276946,"https://www.dl.ndl.go.jp/api/iiif/1276946/R0000007/pct:75.6,20.9,12.2,21.1/full/0/default.jpg"
1276946_7_1.jpg,graphic_graph,graphic_graph\1276946_7_1.jpg,関東州国勢調査世帯及人口,https://dl.ndl.go.jp/info:ndljp/pid/1276946,"https://www.dl.ndl.go.jp/api/iiif/1276946/R0000007/pct:59.2,57.5,9.6,16.5/full/0/default.jpg"
1276946_9_4.jpg,graphic_graph,graphic_graph\1276946_9_4.jpg,関東州国勢調査世帯及人口,https://dl.ndl.go.jp/info:ndljp/pid/1276946,"https://www.dl.ndl.go.jp/api/iiif/1276946/R0000009/pct:67.4,34.5,10.3,15.0/full/0/default.jpg"
1278525_76_0.jpg,graphic_graph,graphic_graph\1278525_76_0.jpg,日本製鉄八幡共済組合事業報告,https://dl.ndl.go.jp/info:ndljp/pid/1278525,"https://www.dl.ndl.go.jp/api/iiif/1278525/R0000076/pct:19.3,20.0,29.6,58.6/full/0/default.jpg"
1279084_8_1.jpg,graphic_graph,graphic_graph\1279084_8_1.jpg,関東庁管内現住人口統計,https://dl.ndl.go.jp/info:ndljp/pid/1279084,"https://www.dl.ndl.go.jp/api/iiif/1279084/R0000008/pct:67.5,64.5,14.9,20.9/full/0/default.jpg"
1279089_7_0.jpg,graphic_graph,graphic_graph\1279089_7_0.jpg,関東庁管内現住人口統計,https://dl.ndl.go.jp/info:ndljp/pid/1279089,"https://www.dl.ndl.go.jp/api/iiif/1279089/R0000007/pct:53.3,10.5,36.5,80.9/full/0/default.jpg"
1280550_264_0.jpg,graphic_graph,graphic_graph\1280550_264_0.jpg,本邦生命保険業史,https://dl.ndl.go.jp/info:ndljp/pid/1280550,"https://www.dl.ndl.go.jp/api/iiif/1280550/R0000264/pct:53.0,52.5,29.5,34.0/full/0/default.jpg"
1438721_80_0.jpg,graphic_graph,graphic_graph\1438721_80_0.jpg,経済学綜攬,https://dl.ndl.go.jp/info:ndljp/pid/1438721,"https://www.dl.ndl.go.jp/api/iiif/1438721/R0000080/pct:68.0,24.5,10.5,22.6/full/0/default.jpg"
1439934_115_1.jpg,graphic_graph,graphic_graph\1439934_115_1.jpg,簡易保険局統計年報,https://dl.ndl.go.jp/info:ndljp/pid/1439934,"https://www.dl.ndl.go.jp/api/iiif/1439934/R0000115/pct:17.5,19.1,18.0,26.4/full/0/default.jpg"
1439971_50_0.jpg,graphic_graph,graphic_graph\1439971_50_0.jpg,経済図説世界は何処へ,https://dl.ndl.go.jp/info:ndljp/pid/1439971,"https://www.dl.ndl.go.jp/api/iiif/1439971/R0000050/pct:6.9,17.2,34.3,32.4/full/0/default.jpg"
1443042_24_0.jpg,graphic_graph,graphic_graph\1443042_24_0.jpg,借地借家争議調査,https://dl.ndl.go.jp/info:ndljp/pid/1443042,"https://www.dl.ndl.go.jp/api/iiif/1443042/R0000024/pct:10.3,28.7,29.0,59.2/full/0/default.jpg"
1443967_37_1.jpg,graphic_graph,graphic_graph\1443967_37_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000037/pct:30.5,57.0,18.9,25.9/full/0/default.jpg"
1443967_38_0.jpg,graphic_graph,graphic_graph\1443967_38_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000038/pct:22.0,16.0,55.4,65.9/full/0/default.jpg"
1443967_39_0.jpg,graphic_graph,graphic_graph\1443967_39_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000039/pct:21.4,18.7,56.3,43.4/full/0/default.jpg"
1443967_41_1.jpg,graphic_graph,graphic_graph\1443967_41_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000041/pct:20.5,47.3,27.5,34.8/full/0/default.jpg"
1443967_42_1.jpg,graphic_graph,graphic_graph\1443967_42_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000042/pct:22.2,55.6,25.1,26.6/full/0/default.jpg"
1443967_48_1.jpg,graphic_graph,graphic_graph\1443967_48_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000048/pct:25.2,51.2,24.0,31.4/full/0/default.jpg"
1443967_49_0.jpg,graphic_graph,graphic_graph\1443967_49_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000049/pct:20.9,29.8,28.2,32.6/full/0/default.jpg"
1443967_49_1.jpg,graphic_graph,graphic_graph\1443967_49_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000049/pct:50.6,29.4,26.9,31.8/full/0/default.jpg"
1443967_50_0.jpg,graphic_graph,graphic_graph\1443967_50_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000050/pct:21.0,19.5,28.0,42.5/full/0/default.jpg"
1443967_50_1.jpg,graphic_graph,graphic_graph\1443967_50_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000050/pct:59.8,35.3,18.2,25.4/full/0/default.jpg"
1443967_51_0.jpg,graphic_graph,graphic_graph\1443967_51_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000051/pct:50.6,21.7,26.7,32.7/full/0/default.jpg"
1443967_52_0.jpg,graphic_graph,graphic_graph\1443967_52_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000052/pct:20.8,19.0,57.5,42.7/full/0/default.jpg"
1443967_53_0.jpg,graphic_graph,graphic_graph\1443967_53_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000053/pct:21.4,17.5,27.2,31.8/full/0/default.jpg"
1443967_53_1.jpg,graphic_graph,graphic_graph\1443967_53_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000053/pct:50.9,16.8,28.8,32.5/full/0/default.jpg"
1443967_53_4.jpg,graphic_graph,graphic_graph\1443967_53_4.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000053/pct:39.1,55.8,9.1,27.0/full/0/default.jpg"
1443967_55_0.jpg,graphic_graph,graphic_graph\1443967_55_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000055/pct:50.8,15.2,27.5,63.8/full/0/default.jpg"
1443967_55_1.jpg,graphic_graph,graphic_graph\1443967_55_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000055/pct:20.8,47.2,27.3,32.5/full/0/default.jpg"
1443967_55_2.jpg,graphic_graph,graphic_graph\1443967_55_2.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000055/pct:20.6,16.5,27.3,30.1/full/0/default.jpg"
1443967_56_0.jpg,graphic_graph,graphic_graph\1443967_56_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000056/pct:18.2,16.1,29.3,28.5/full/0/default.jpg"
1443967_56_1.jpg,graphic_graph,graphic_graph\1443967_56_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000056/pct:51.9,16.2,25.8,27.2/full/0/default.jpg"
1443967_56_2.jpg,graphic_graph,graphic_graph\1443967_56_2.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000056/pct:20.6,48.5,27.3,22.8/full/0/default.jpg"
1443967_56_3.jpg,graphic_graph,graphic_graph\1443967_56_3.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000056/pct:52.1,52.3,25.3,19.6/full/0/default.jpg"
1443967_63_2.jpg,graphic_graph,graphic_graph\1443967_63_2.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000063/pct:52.3,22.7,24.8,29.1/full/0/default.jpg"
1443967_65_0.jpg,graphic_graph,graphic_graph\1443967_65_0.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000065/pct:20.2,23.6,27.7,36.7/full/0/default.jpg"
1443967_65_1.jpg,graphic_graph,graphic_graph\1443967_65_1.jpg,百億円達成記念写真帖,https://dl.ndl.go.jp/info:ndljp/pid/1443967,"https://www.dl.ndl.go.jp/api/iiif/1443967/R0000065/pct:50.5,31.2,26.9,29.2/full/0/default.jpg"
1444548_179_0.jpg,graphic_graph,graphic_graph\1444548_179_0.jpg,学生の一般理科 : 新制準拠,https://dl.ndl.go.jp/info:ndljp/pid/1444548,"https://www.dl.ndl.go.jp/api/iiif/1444548/R0000179/pct:59.5,14.7,29.3,67.8/full/0/default.jpg"
1444548_180_0.jpg,graphic_graph,graphic_graph\1444548_180_0.jpg,学生の一般理科 : 新制準拠,https://dl.ndl.go.jp/info:ndljp/pid/1444548,"https://www.dl.ndl.go.jp/api/iiif/1444548/R0000180/pct:61.1,47.7,28.0,34.3/full/0/default.jpg"
1444548_180_1.jpg,graphic_graph,graphic_graph\1444548_180_1.jpg,学生の一般理科 : 新制準拠,https://dl.ndl.go.jp/info:ndljp/pid/1444548,"https://www.dl.ndl.go.jp/api/iiif/1444548/R0000180/pct:62.2,16.0,11.0,30.8/full/0/default.jpg"
1446709_31_2.jpg,graphic_graph,graphic_graph\1446709_31_2.jpg,宮崎県統計書,https://dl.ndl.go.jp/info:ndljp/pid/1446709,"https://www.dl.ndl.go.jp/api/iiif/1446709/R0000031/pct:78.6,54.0,10.5,14.5/full/0/default.jpg"
